,City,Colors Reported,Shape Reported,State,Time
5396,Victor,,CIRCLE,MT,2/28/1986 6:00
5397,Middle Smithfield Township,,TRIANGLE,PA,3/10/1986 0:45
5398,Delray Beach,,DISK,FL,3/15/1986 0:00
5399,St. Petersburg,,,FL,3/15/1986 10:30
5400,Midway,,LIGHT,GA,3/15/1986 15:40
5401,Los Angeles,,TRIANGLE,CA,3/25/1986 7:45
5402,Alamo,,RECTANGLE,NV,3/29/1986 19:30
5403,Chicago,,SPHERE,IL,4/1/1986 14:30
5404,Red Lodge,,,MT,4/1/1986 22:00
5405,Brownsville,,DISK,TX,4/1/1986 22:15
5406,Mt. Gilead,,OVAL,OH,4/2/1986 21:30
5407,Knoxville,,RECTANGLE,TN,4/4/1986 23:00
5408,Palm Springs,,DISK,CA,4/10/1986 12:00
5409,Oak Lawn,,OTHER,IL,4/12/1986 13:00
5410,Julian,RED BLUE,OTHER,CA,4/15/1986 0:30
5411,Lubbock,,OTHER,TX,4/15/1986 15:00
5412,Hayward,,DISK,CA,4/15/1986 17:00
5413,Lafayette,,LIGHT,LA,4/15/1986 21:50
5414,Marysville,,,CA,4/21/1986 18:30
5415,Bensalem,,FORMATION,PA,5/1/1986 19:00
5416,Jefferson,,SPHERE,CO,5/1/1986 19:00
5417,Vine Grove,,OVAL,KY,5/1/1986 21:00
5418,Fortuna,,TRIANGLE,CA,5/4/1986 12:30
5419,Crab Orchard,BLUE,LIGHT,KY,5/10/1986 21:30
5420,Dade City,,TRIANGLE,FL,5/12/1986 20:45
5421,Midwest City,,,OK,5/15/1986 2:00
5422,Jefferson,RED,SPHERE,CO,5/15/1986 8:00
5423,New York City,,CHEVRON,NY,5/15/1986 17:40
5424,Tompkinsville,,TRIANGLE,KY,5/15/1986 22:00
5425,Trimmer,,VARIOUS,CA,5/18/1986 20:30
5426,Adak,,LIGHT,AK,6/1/1986 0:00
5427,South Windsor,,CIRCLE,CT,6/1/1986 0:00
5428,Euclid,,OTHER,OH,6/1/1986 1:00
5429,Atlanta,ORANGE,SPHERE,GA,6/1/1986 2:00
5430,Schertz,,OVAL,TX,6/1/1986 3:00
5431,Plainview,,EGG,TX,6/1/1986 5:00
5432,Los Angeles,,TRIANGLE,CA,6/1/1986 12:00
5433,Flint,,,MI,6/1/1986 19:00
5434,Greenbelt,,,MD,6/1/1986 19:00
5435,New York City,,TRIANGLE,NY,6/1/1986 19:00
5436,Port Isable,,CIRCLE,TX,6/1/1986 20:00
5437,Milpitas,,LIGHT,CA,6/1/1986 22:00
5438,Tawas City,,TRIANGLE,MI,6/1/1986 22:00
5439,Jay,,,FL,6/1/1986 23:00
5440,Memphis,,TRIANGLE,TN,6/1/1986 23:00
5441,New Orleans,,LIGHT,LA,6/1/1986 23:00
5442,Brooksville,,OTHER,FL,6/6/1986 1:00
5443,St. Louis,,,MO,6/6/1986 16:30
5444,Panama City,,OTHER,FL,6/7/1986 19:00
5445,Conroe,,DISK,TX,6/7/1986 22:00
5446,Louisville,,CIGAR,KY,6/9/1986 16:00
5447,Severn,,TRIANGLE,MD,6/10/1986 21:00
5448,Colorado Springs,,SPHERE,CO,6/14/1986 18:30
5449,Allegan,,OTHER,MI,6/14/1986 19:00
5450,New Rochelle,RED,TRIANGLE,NY,6/14/1986 20:00
5451,Fairdale,,,WV,6/15/1986 0:00
5452,Gary,,OTHER,IN,6/15/1986 3:00
5453,Chilton,,TRIANGLE,WI,6/15/1986 13:00
5454,Milan,,DISK,OH,6/15/1986 16:00
5455,Princeton,,OTHER,SC,6/15/1986 21:00
5456,Ontario,,OTHER,CA,6/15/1986 22:30
5457,Gary,GREEN,,IN,6/15/1986 23:30
5458,Tucson,,FIREBALL,AZ,6/20/1986 17:30
5459,Teller,RED GREEN,OVAL,AK,6/20/1986 23:30
5460,Kentucy Lake  area,,TRIANGLE,KY,6/21/1986 0:00
5461,Shelton,,CIRCLE,WA,6/25/1986 3:15
5462,Tampa,,LIGHT,FL,6/29/1986 1:30
5463,Jonesboro,,DISK,AR,6/30/1986 12:00
5464,Seattle,,OTHER,WA,6/30/1986 14:00
5465,Glidden,,DISK,IA,7/1/1986 16:00
5466,Nevada City,,DISK,CA,7/1/1986 19:00
5467,Fairfield,,CIGAR,IA,7/2/1986 20:00
5468,Louisville,,CIRCLE,KY,7/4/1986 22:00
5469,Lincoln,,LIGHT,NE,7/4/1986 23:30
5470,Bayside,,DIAMOND,NY,7/5/1986 21:00
5471,Waynesburg,,DIAMOND,PA,7/13/1986 17:00
5472,Phoenix,,FIREBALL,AZ,7/13/1986 18:00
5473,Chicago,,OVAL,IL,7/15/1986 3:00
5474,Las Vegas,,VARIOUS,NM,7/15/1986 7:30
5475,Lake Elsinore,,DISK,CA,7/15/1986 11:00
5476,Palos Verdes Peninsula,,RECTANGLE,CA,7/15/1986 17:30
5477,Albuquerque,,CHEVRON,NM,7/15/1986 19:30
5478,Smith,RED,,KY,7/15/1986 21:00
5479,East Sparta,,OTHER,OH,7/15/1986 22:00
5480,Pecos,,OTHER,NM,7/15/1986 22:00
5481,Tucson,,LIGHT,AZ,7/20/1986 1:00
5482,San Marcos,RED YELLOW BLUE,RECTANGLE,TX,7/20/1986 3:30
5483,New Haven,,TRIANGLE,CT,7/20/1986 23:30
5484,Apple Valley,,TRIANGLE,CA,7/23/1986 19:00
5485,Austin,,OVAL,TX,7/30/1986 16:00
5486,Kingwood,,DIAMOND,TX,7/31/1986 21:00
5487,Lawton,,DIAMOND,MI,8/1/1986 0:00
5488,Page,,SPHERE,AZ,8/1/1986 0:00
5489,Lubbock,,RECTANGLE,TX,8/1/1986 15:00
5490,Marcellus,,TRIANGLE,MI,8/1/1986 20:00
5491,Jamestown,,TRIANGLE,OH,8/1/1986 22:00
5492,Bankson Lake,,TRIANGLE,MI,8/1/1986 22:30
5493,Tuolumne,RED,DISK,CA,8/2/1986 23:00
5494,Harrisonburg,,,LA,8/4/1986 0:00
5495,Hutchinson,,TRIANGLE,KS,8/6/1986 2:00
5496,Girard,,FIREBALL,OH,8/8/1986 1:30
5497,Russells Point,,TRIANGLE,OH,8/13/1986 23:00
5498,Inez,,CHEVRON,KY,8/14/1986 11:55
5499,Ogden,,CIGAR,UT,8/15/1986 13:30
5500,Spokane,,TRIANGLE,WA,8/15/1986 18:00
5501,Stillwater,,,OK,8/15/1986 21:30
5502,Seattle,RED,DISK,WA,8/15/1986 22:00
5503,Newberg,,TRIANGLE,OR,8/15/1986 23:25
5504,Decatur,,SPHERE,IN,8/15/1986 23:55
5505,Del Rio,,TRIANGLE,TX,8/16/1986 21:00
5506,Myrtle Beach,,SPHERE,SC,8/20/1986 0:30
5507,Anchorage,,DISK,AK,8/20/1986 2:00
5508,Eldon,RED,OTHER,MO,8/20/1986 22:00
5509,Danville,,TRIANGLE,VA,8/24/1986 0:00
5510,Maysville,,TRIANGLE,GA,9/1/1986 0:00
5511,Oak Harbor,,OTHER,WA,9/1/1986 15:00
5512,Virginia Beach,,,VA,9/1/1986 20:00
5513,Calypso,RED YELLOW,SPHERE,NC,9/11/1986 22:00
5514,New York City,,SPHERE,NY,9/15/1986 3:00
5515,Tyler,,OTHER,TX,9/15/1986 20:00
5516,Calypso,RED YELLOW,OTHER,NC,9/15/1986 22:00
5517,Redding,RED,CIGAR,CA,9/15/1986 22:30
5518,Wingdale,,OTHER,NY,9/15/1986 22:30
5519,New Ellington,,OTHER,SC,9/16/1986 18:00
5520,Owensboro,,CYLINDER,KY,9/18/1986 16:00
5521,Colts Neck,,FIREBALL,NJ,9/18/1986 20:30
5522,Portsmouth,,,VA,9/19/1986 19:00
5523,Tucson,BLUE,,AZ,9/20/1986 23:50
5524,Jasper,,TRIANGLE,GA,9/21/1986 6:30
5525,Fredericksburg,ORANGE,TRIANGLE,VA,9/22/1986 16:00
5526,Klamath Falls,,CIRCLE,OR,10/1/1986 1:00
5527,N. Ridgeville,GREEN,TRIANGLE,OH,10/1/1986 22:00
5528,Wheeling,,LIGHT,WV,10/1/1986 22:00
5529,Bakersfield,,CIRCLE,CA,10/3/1986 21:00
5530,Cresson,ORANGE GREEN,DISK,PA,10/3/1986 21:00
5531,Holmes,,CHEVRON,NY,10/10/1986 20:00
5532,San Jose,GREEN,LIGHT,CA,10/14/1986 20:30
5533,Orangeburg,,CYLINDER,SC,10/15/1986 2:00
5534,Salem,,CIGAR,OR,10/15/1986 2:30
5535,Pinson,ORANGE,CIRCLE,AL,10/15/1986 14:00
5536,Bellevue,ORANGE,DISK,WA,10/15/1986 18:00
5537,Knoxville,,DISK,TN,10/15/1986 19:00
5538,Petaluma,,DISK,CA,10/15/1986 19:00
5539,Ridgecrest,,DISK,CA,10/15/1986 19:20
5540,Fayettville,,DIAMOND,TN,10/15/1986 21:00
5541,Onyx,,FIREBALL,CA,10/15/1986 22:00
5542,Eglin AFB,,DISK,FL,10/17/1986 17:00
5543,Bartlesville,,OTHER,OK,10/17/1986 18:00
5544,Raleigh,,TRIANGLE,NC,10/20/1986 19:00
5545,Selma,,LIGHT,NC,10/22/1986 22:00
5546,Decatur,,TRIANGLE,IA,10/26/1986 13:30
5547,Decatur City,,TRIANGLE,IA,10/30/1986 13:30
5548,Riverdale,,OTHER,GA,10/31/1986 3:00
5549,Landaff,,TRIANGLE,NH,11/1/1986 22:50
5550,Martinsburg,,OVAL,WV,11/1/1986 23:45
5551,Arvada,BLUE,SPHERE,CO,11/3/1986 20:30
5552,Grass Valley,,DISK,CA,11/10/1986 23:55
5553,Ft. Richardson,,,AK,11/15/1986 0:00
5554,Girdwood,ORANGE,SPHERE,AK,11/15/1986 14:30
5555,Savannah,,LIGHT,GA,11/15/1986 21:00
5556,Plains,GREEN,OTHER,MT,11/15/1986 23:00
5557,North Laguna Beach,,DISK,CA,11/21/1986 18:30
5558,New Windsor,,TRIANGLE,MD,11/23/1986 5:45
5559,Ocala,RED,RECTANGLE,FL,12/1/1986 22:00
5560,Pocahontas,RED,LIGHT,AR,12/12/1986 20:00
5561,Attleboro,,DISK,MA,12/15/1986 20:30
5562,Ocala,,TRIANGLE,FL,12/24/1986 22:00
5563,Pittsburgh,,TRIANGLE,PA,12/27/1986 10:30
5564,Kaneohe,,CIGAR,HI,12/31/1986 18:00
5565,Mt. Airy,,FORMATION,NC,12/31/1986 19:00
5566,Mt. Airy,,TRIANGLE,NC,12/31/1986 19:00
5567,Houston,,FORMATION,TX,12/31/1986 21:00
5568,Castro Valley,,OVAL,CA,1/1/1987 0:00
5569,Salem,RED,SPHERE,OR,1/1/1987 0:00
5570,El Centro,RED,SPHERE,CA,1/10/1987 17:00
5571,Montgomery,,CIGAR,AL,1/13/1987 0:00
5572,Ojai,,,CA,1/15/1987 0:00
5573,Elkader,,OTHER,IA,1/15/1987 1:45
5574,Las Vegas,,DISK,NV,1/29/1987 22:00
5575,East Meadow,,VARIOUS,NY,1/30/1987 13:00
5576,Kenai,,LIGHT,AK,1/30/1987 21:00
5577,Black Hawk,RED YELLOW,SPHERE,CO,1/31/1987 17:04
5578,Lucas,,OTHER,TX,2/1/1987 14:00
5579,Traverse City,,TRIANGLE,MI,2/3/1987 8:30
5580,Laurel Springs,,RECTANGLE,NJ,2/6/1987 13:00
5581,Bessemer,,,AL,2/20/1987 1:30
5582,Revere,,LIGHT,MA,3/1/1987 1:00
5583,Weaverville,,TRIANGLE,NC,3/1/1987 19:00
5584,Evansville,,LIGHT,IN,3/5/1987 3:00
5585,Ghent,,EGG,WV,3/8/1987 12:27
5586,Medford,,FORMATION,NY,3/10/1987 20:00
5587,Scottsdale,,LIGHT,AZ,3/15/1987 3:00
5588,New York City,,CHEVRON,NY,3/17/1987 21:00
5589,Apache Junction,,VARIOUS,AZ,3/23/1987 0:55
5590,East Helena,,TRIANGLE,MT,3/31/1987 23:00
5591,Stamps,,CHEVRON,AR,4/1/1987 18:00
5592,Malibu,,FIREBALL,CA,4/1/1987 21:30
5593,Lawrenceville,,OTHER,NJ,4/9/1987 19:20
5594,New York City,,TRIANGLE,NY,4/10/1987 13:00
5595,Carolina Beach,,CIGAR,NC,4/11/1987 22:00
5596,Butler,,OTHER,PA,4/14/1987 12:00
5597,Seal Rock,,SPHERE,OR,4/15/1987 16:00
5598,Clearwater,,OTHER,FL,4/16/1987 15:30
5599,American Fork,,FORMATION,UT,4/17/1987 12:00
5600,Carolina Beach,,CIGAR,NC,4/19/1987 22:30
5601,Hibbing,,CIRCLE,MN,4/21/1987 22:30
5602,Rockford,ORANGE,SPHERE,IL,4/22/1987 23:30
5603,Redmond,RED,CIGAR,WA,4/23/1987 20:30
5604,Seattle,ORANGE,VARIOUS,WA,4/24/1987 20:15
5605,Winslow,,,ME,5/1/1987 23:00
5606,Natick,,DISK,MA,5/5/1987 21:00
5607,El Paso,,DISK,TX,5/6/1987 18:15
5608,Marble Falls,,CIRCLE,TX,5/8/1987 0:00
5609,Selden,,OTHER,NY,5/10/1987 23:30
5610,Wales,,LIGHT,NY,5/10/1987 23:30
5611,Whitesburg,,RECTANGLE,KY,5/14/1987 20:45
5612,Las Vegas,,OVAL,NV,5/15/1987 0:30
5613,Island Lake,RED,LIGHT,IL,5/15/1987 23:00
5614,Temple,,CIGAR,TX,5/15/1987 23:00
5615,Evansville,,OTHER,IN,5/18/1987 22:30
5616,Galveston,,VARIOUS,TX,5/20/1987 2:00
5617,Mcpherson,,TRIANGLE,KS,5/20/1987 22:00
5618,San Antonio,,DISK,TX,5/21/1987 2:00
5619,Schenectady,,CHEVRON,NY,5/28/1987 19:00
5620,Burnside,,CIRCLE,KY,5/28/1987 20:30
5621,Iowa,,,LA,6/1/1987 0:00
5622,Kittery,,,ME,6/1/1987 0:00
5623,Coos Bay,,DISK,OR,6/1/1987 1:00
5624,San Francisco,,OTHER,CA,6/1/1987 2:30
5625,Olympia,,EGG,WA,6/1/1987 3:00
5626,Miami,,LIGHT,FL,6/1/1987 6:00
5627,Las Vegas,,,NV,6/1/1987 6:45
5628,New York City,RED,CIGAR,NY,6/1/1987 15:00
5629,Redding,,,CA,6/1/1987 16:00
5630,Segno,,DISK,TX,6/1/1987 16:00
5631,Ithaca,,OTHER,MI,6/1/1987 17:00
5632,Syracuse,RED GREEN,OVAL,NY,6/1/1987 19:00
5633,Gladstone,,DISK,MO,6/1/1987 19:30
5634,Minford,,FLASH,OH,6/1/1987 20:00
5635,Putnam Valley,,FORMATION,NY,6/1/1987 21:00
5636,Kansas,BLUE,FIREBALL,KS,6/1/1987 22:00
5637,Little Rock,,FORMATION,AR,6/1/1987 22:00
5638,Jackson Hole,,LIGHT,WY,6/7/1987 21:00
5639,Jackson,,DIAMOND,MS,6/10/1987 7:00
5640,Joplin,,DISK,MO,6/10/1987 22:30
5641,Sarasota,,DISK,FL,6/11/1987 9:00
5642,Middlebury,,DISK,CT,6/11/1987 21:00
5643,Pittsburg,,,KS,6/12/1987 1:00
5644,Depere,,,WI,6/12/1987 21:00
5645,Cedarburg,RED,FORMATION,WI,6/13/1987 1:30
5646,Londonderry,,OTHER,NH,6/15/1987 1:00
5647,Bullhead City,,FIREBALL,AZ,6/15/1987 18:30
5648,Burlington,,FIREBALL,CT,6/15/1987 20:00
5649,Miamisburg,,TRIANGLE,OH,6/18/1987 23:15
5650,Auburn,,FIREBALL,MA,6/20/1987 9:30
5651,Gettysburg,,,PA,6/21/1987 23:00
5652,Summerfield,,LIGHT,OK,6/23/1987 1:30
5653,Pahrump,,OTHER,NV,6/25/1987 23:00
5654,Crofton,,DISK,MD,6/30/1987 0:00
5655,Muskegon,,LIGHT,MI,6/30/1987 2:30
5656,Irma,,OVAL,WI,6/30/1987 4:45
5657,Canton,,LIGHT,OH,6/30/1987 15:00
5658,Osceola County,,OTHER,FL,6/30/1987 16:00
5659,Hancock,,TRIANGLE,MD,6/30/1987 19:00
5660,Palm Springs,,,CA,6/30/1987 19:00
5661,St. Cloud,,OTHER,FL,6/30/1987 21:00
5662,Thomaston,,CIRCLE,GA,7/1/1987 0:30
5663,Marshville,,OTHER,NC,7/1/1987 1:00
5664,San Pedro,,TRIANGLE,CA,7/1/1987 3:00
5665,Cherokee Village,,CYLINDER,AR,7/1/1987 16:00
5666,Lost Park,RED,SPHERE,CO,7/1/1987 20:00
5667,Erie,,TRIANGLE,PA,7/3/1987 20:00
5668,Frankford,,LIGHT,MO,7/4/1987 22:00
5669,Neenah,,OTHER,WI,7/7/1987 1:00
5670,Salina,,SPHERE,KS,7/7/1987 23:30
5671,Rockford,,TRIANGLE,IL,7/10/1987 22:05
5672,White Bear Lake,,DISK,MN,7/12/1987 15:00
5673,Sacramento,,OTHER,CA,7/14/1987 1:30
5674,Teller,,DISK,AK,7/15/1987 1:30
5675,Richton,,OTHER,MS,7/15/1987 2:00
5676,San Juan Capistrano,YELLOW,LIGHT,CA,7/15/1987 2:00
5677,Arkansas,,LIGHT,AR,7/15/1987 3:00
5678,Houston,,SPHERE,TX,7/15/1987 13:00
5679,Beaver Dam,,OTHER,WI,7/15/1987 20:00
5680,Dyersburg,,CIRCLE,TN,7/15/1987 20:30
5681,Lakeville,,CHEVRON,CT,7/15/1987 21:00
5682,Collinsville,,TRIANGLE,AL,7/15/1987 22:30
5683,Alton,,DISK,IL,7/15/1987 23:00
5684,Somerset,,RECTANGLE,KY,7/16/1987 21:45
5685,Rome,,SPHERE,GA,7/18/1987 21:30
5686,Jackman,,SPHERE,ME,7/20/1987 18:00
5687,Piscataway,,OTHER,NJ,7/20/1987 21:00
5688,Windsor,,CIGAR,MO,7/20/1987 23:59
5689,Gypsum,,OVAL,CO,7/21/1987 11:00
5690,New York City,,OVAL,NY,7/21/1987 23:00
5691,Seattle,,TRIANGLE,WA,7/22/1987 10:15
5692,Scottsdale,RED GREEN BLUE,,AZ,7/23/1987 0:15
5693,Lawton,,,OK,7/25/1987 2:00
5694,Tucson,,FLASH,AZ,7/28/1987 15:00
5695,Asheville,,LIGHT,NC,7/30/1987 21:20
5696,Indianapolis,RED,LIGHT,IN,8/1/1987 0:00
5697,Carlsbad,,DIAMOND,CA,8/1/1987 22:00
5698,Live Oak,,FIREBALL,FL,8/1/1987 22:00
5699,Crescent Junction,,OTHER,UT,8/6/1987 3:30
5700,Applegate,,,CA,8/11/1987 23:00
5701,Neosho,,RECTANGLE,MO,8/11/1987 23:00
5702,Springfield,,TRIANGLE,OH,8/13/1987 21:00
5703,Kitsap County,,LIGHT,WA,8/15/1987 0:00
5704,Marina,,OTHER,CA,8/15/1987 1:00
5705,no data,,TRIANGLE,NE,8/15/1987 1:30
5706,Bremen,,DISK,GA,8/15/1987 2:00
5707,Bessmer,GREEN,LIGHT,MI,8/15/1987 2:30
5708,Rte 7,,CHEVRON,VT,8/15/1987 2:30
5709,Chino Valley,,SPHERE,AZ,8/15/1987 16:00
5710,Bellefontaine,,RECTANGLE,OH,8/15/1987 19:00
5711,Brookline,,TRIANGLE,MA,8/15/1987 22:30
5712,Olancha,,DISK,CA,8/15/1987 22:30
5713,Springfield,,CIGAR,OR,8/17/1987 2:00
5714,San Diego,,DISK,CA,8/17/1987 2:30
5715,Jakes Corners,,LIGHT,AZ,8/17/1987 19:00
5716,Los Alamos,RED,CHEVRON,CA,8/17/1987 20:00
5717,Lincoln,,DISK,IL,8/18/1987 22:00
5718,Cedar Springs,RED,CIRCLE,MI,8/20/1987 1:00
5719,Port Aransas,,TRIANGLE,TX,8/20/1987 2:00
5720,Hastings On Hudson,,TRIANGLE,NY,8/20/1987 20:00
5721,Tallahassee,,CHEVRON,FL,8/20/1987 21:00
5722,Crown Point,,DISK,IN,8/20/1987 23:00
5723,Southbridge,,LIGHT,MA,8/22/1987 20:00
5724,Panorama City,,OTHER,CA,9/1/1987 0:00
5725,Hewlett,,DISK,NY,9/1/1987 20:00
5726,Conway,RED YELLOW,CYLINDER,AR,9/10/1987 18:00
5727,Liverpool,,CIGAR,NY,9/15/1987 7:30
5728,River Hills,,,WI,9/15/1987 20:00
5729,Yankton,,TRIANGLE,SD,9/15/1987 21:00
5730,Tulare,,LIGHT,CA,9/15/1987 23:00
5731,Spokane,,DISK,WA,9/16/1987 21:21
5732,Lima,,RECTANGLE,OH,9/18/1987 23:00
5733,Santa Fe,,,NM,9/20/1987 16:00
5734,Alvarado,,LIGHT,TX,9/25/1987 18:00
5735,West Palm Beach,,,FL,10/1/1987 1:00
5736,Roseburg,ORANGE,OVAL,OR,10/1/1987 20:00
5737,Alstead,,FIREBALL,NH,10/1/1987 21:00
5738,Louisburg,,TRIANGLE,NC,10/1/1987 23:00
5739,Wappingers Falls,,,NY,10/1/1987 23:00
5740,Wytheville,RED,LIGHT,VA,10/8/1987 23:00
5741,Minnetonka,,LIGHT,MN,10/11/1987 21:30
5742,Otto,BLUE,FIREBALL,MO,10/11/1987 23:59
5743,Raleigh,,TRIANGLE,NC,10/15/1987 2:00
5744,Burnet,,DISK,TX,10/15/1987 16:00
5745,Bolingbrook,,TRIANGLE,IL,10/15/1987 20:00
5746,Itta Bena,,CIRCLE,MS,10/15/1987 21:00
5747,Osawatomie,,OTHER,KS,10/15/1987 21:00
5748,Yonkers,,RECTANGLE,NY,10/15/1987 21:00
5749,Eastchester,,TRIANGLE,NY,10/15/1987 22:00
5750,Baker,,LIGHT,MT,10/15/1987 22:30
5751,Portsmouth,,CIGAR,NH,10/22/1987 20:00
5752,Fort Wayne,,,IN,10/26/1987 0:00
5753,Jackson,RED ORANGE,FORMATION,WI,10/26/1987 23:00
5754,Las Cruces,,VARIOUS,NM,10/28/1987 20:30
5755,Kerens,,CIRCLE,TX,10/29/1987 23:30
5756,Pleasant Hill,ORANGE,SPHERE,CA,10/30/1987 22:00
5757,Omaha,,TRIANGLE,AR,10/31/1987 18:30
5758,Dallas,,LIGHT,NC,11/1/1987 4:00
5759,Daytona Beach,,CYLINDER,FL,11/1/1987 20:00
5760,Lyons,,OVAL,CO,11/1/1987 22:00
5761,San Diego,,FLASH,CA,11/15/1987 2:00
5762,St. Petersburg,,RECTANGLE,FL,11/15/1987 19:30
5763,Reedsville,,TRIANGLE,WI,11/15/1987 22:00
5764,Crivitz,,,WI,11/15/1987 23:00
5765,Anchorage,,LIGHT,AK,11/17/1987 6:00
5766,Uvalde,RED GREEN,CIRCLE,TX,11/20/1987 21:30
5767,Knoxville,,CHEVRON,TN,11/23/1987 19:45
5768,Firebaugh,,TRIANGLE,CA,11/23/1987 23:00
5769,Tehachapi,,,CA,11/26/1987 6:30
5770,El Paso,,OVAL,TX,11/27/1987 17:30
5771,Lake Ozark,GREEN,CIGAR,MO,12/12/1987 21:00
5772,Mapelton,,CONE,IL,12/13/1987 1:00
5773,Tampa,,,FL,12/20/1987 1:00
5774,Las Vegas,RED,LIGHT,NV,12/20/1987 17:15
5775,Ocala,RED,TRIANGLE,FL,12/23/1987 22:00
5776,Exeter,,RECTANGLE,RI,12/24/1987 20:00
5777,Woodbridge,ORANGE,SPHERE,VA,12/31/1987 23:00
5778,Roselle,ORANGE,TRIANGLE,IL,1/1/1988 3:00
5779,Kenner,,CIRCLE,LA,1/1/1988 17:00
5780,Ellington,,TRIANGLE,CT,1/9/1988 23:00
5781,Williamsfield,YELLOW,,IL,1/10/1988 22:10
5782,Cambridge,,OVAL,MA,1/12/1988 3:30
5783,Little Rock,,OTHER,AR,1/15/1988 18:00
5784,Vandalia,,TRIANGLE,MO,1/15/1988 23:00
5785,Kingsville,GREEN,RECTANGLE,OH,1/17/1988 2:00
5786,Stonewall,,LIGHT,OK,1/18/1988 20:00
5787,Duluth,,TRIANGLE,MN,1/25/1988 4:00
5788,Houma,,DISK,LA,2/5/1988 15:00
5789,Brooklyn Park,,CYLINDER,MN,2/8/1988 0:10
5790,Indian Springs,,OVAL,AL,2/15/1988 2:30
5791,Huntsville,,OTHER,AL,2/15/1988 21:00
5792,Brandon,,LIGHT,FL,2/25/1988 21:00
5793,In flight,,,CO,3/1/1988 12:00
5794,New Brighton,,VARIOUS,PA,3/5/1988 16:30
5795,Shell Beach,,FIREBALL,CA,3/6/1988 3:00
5796,Powhatan,,TRIANGLE,VA,3/8/1988 5:20
5797,Quinton,,CIRCLE,VA,3/11/1988 0:00
5798,Klondyke,,CONE,AZ,3/15/1988 0:00
5799,Yuma,,LIGHT,AZ,3/15/1988 2:00
5800,Rock Hill,,CIRCLE,SC,3/15/1988 6:00
5801,Wataga,GREEN,DISK,IL,3/15/1988 10:00
5802,Gallup,,CYLINDER,NM,3/15/1988 19:30
5803,New York City,,OVAL,NY,3/17/1988 19:30
5804,Ossining,,EGG,NY,3/17/1988 20:00
5805,Pleasantville,,EGG,NY,3/17/1988 22:00
5806,Brunswick,GREEN,,ME,4/4/1988 2:00
5807,Akron,,LIGHT,OH,4/4/1988 23:30
5808,Pleasant Hill,,DISK,MO,4/12/1988 16:00
5809,Wasilla,,DISK,AK,4/15/1988 7:00
5810,Bremerton,,DISK,WA,4/15/1988 14:00
5811,Yuma,,OTHER,AZ,4/15/1988 19:00
5812,Dallas,,LIGHT,TX,4/26/1988 23:00
5813,Lincoln,,CIRCLE,MO,4/30/1988 0:00
5814,McNeill,,CIGAR,MS,4/30/1988 22:00
5815,Cleveland,,CIRCLE,OH,5/1/1988 16:00
5816,Houston,,,TX,5/1/1988 21:00
5817,Ray Center,,DISK,MI,5/1/1988 21:00
5818,Virginia Beach,,,VA,5/5/1988 22:15
5819,Allison Park,,SPHERE,PA,5/15/1988 8:00
5820,Edgewood,,SPHERE,MD,5/15/1988 15:00
5821,Kendallville,,TRIANGLE,IN,5/15/1988 21:00
5822,Chicago,,CHEVRON,IL,5/17/1988 19:45
5823,Wheeler,,LIGHT,TX,5/20/1988 20:00
5824,Ada,,CIGAR,MN,5/24/1988 14:00
5825,Valentine,,OTHER,TX,6/1/1988 0:00
5826,Corbin,,DISK,KY,6/1/1988 1:00
5827,Davis,,LIGHT,OK,6/1/1988 1:00
5828,Live Oak,GREEN,LIGHT,FL,6/1/1988 1:00
5829,Tamarac,,EGG,FL,6/1/1988 2:00
5830,Ironton,,,OH,6/1/1988 3:00
5831,Trinity village,,,CA,6/1/1988 4:00
5832,Sebastopol,RED,CIRCLE,CA,6/1/1988 15:30
5833,Venice Beach,ORANGE,,FL,6/1/1988 18:00
5834,Mankato,ORANGE,OTHER,MN,6/1/1988 19:00
5835,North East Orlando,,DISK,FL,6/1/1988 19:00
5836,Buras,,DISK,LA,6/1/1988 19:30
5837,Carrollton,,CIRCLE,MS,6/1/1988 20:00
5838,Blythe,,FORMATION,CA,6/1/1988 21:00
5839,Potomac,ORANGE,CIRCLE,MD,6/1/1988 21:00
5840,St. Augustine,,SPHERE,FL,6/1/1988 21:00
5841,Albuquerque,,SPHERE,NM,6/1/1988 21:30
5842,Walnut Creek,,,CA,6/1/1988 22:00
5843,Lackawanna,,,NY,6/1/1988 23:00
5844,Lakeline,,LIGHT,OH,6/1/1988 23:00
5845,Owego,RED,DISK,NY,6/10/1988 2:00
5846,Eden Prairie,,LIGHT,MN,6/10/1988 3:00
5847,Atlanta,,OTHER,GA,6/10/1988 12:00
5848,Pensacola,,LIGHT,FL,6/10/1988 22:00
5849,Omaha,,OVAL,NE,6/10/1988 22:30
5850,Carrollton,,CROSS,TX,6/14/1988 21:45
5851,Wilmington,,,IL,6/15/1988 0:00
5852,Westfall,RED,,PA,6/15/1988 1:00
5853,Los Angeles,,DIAMOND,CA,6/15/1988 21:00
5854,Julian,,OTHER,CA,6/15/1988 21:30
5855,Budd Lake,,TRIANGLE,NJ,6/15/1988 22:00
5856,North Freedom,,CYLINDER,WI,6/15/1988 23:00
5857,Jonesboro,,LIGHT,IN,6/18/1988 23:30
5858,Canton,,CIRCLE,GA,6/19/1988 3:00
5859,In-flight,,,NV,6/19/1988 5:30
5860,Woburn,,LIGHT,MA,6/20/1988 1:00
