city,country,2017,2018,2019,2020,2021,2022,2023
Wuzhong,China,42.9,37.9,31.1,33.9,36.5,34.6,34.6
Wuzhou,China,39.2,34.5,28.7,25.2,25.5,26.5,26.4
Xiamen,China,25.8,23.5,23.8,17.9,19.9,17.2,17.2
Xian,China,70.2,59.9,56.6,49.3,41.1,48.6,48.8
Xiangtan,China,50.3,46.6,46.8,38.2,42.3,36.9,37.1
Xiangxi,China,35.4,32.6,28.8,23.4,22.6,23.2,23.3
Xiangxiang,China,0,0,0,0,40.3,31.3,31.3
Xiangyang,China,64.4,60.5,60.4,52.5,50.6,50.2,50.2
Xianju,China,0,0,0,0,20.6,20.0,19.5
Xianning,China,46.5,36.7,35.1,29.1,26.8,27.0,27.0
Xiannu,China,0,0,0,0,31.3,35.1,32.5
Xianyang,China,77.8,67.8,63.7,50.5,45.7,50.8,50.9
Xiaogan,China,49.4,43.9,43.9,35.9,33.9,41.1,41.2
Xiaolingwei,China,0,0,0,0,29.3,28.5,28.1
Xiaoshan,China,0,0,0,0,27.0,30.3,30.4
Xiaoweizhai,China,0,0,0,0,15.6,18.5,18.5
Xiazhen,China,0,0,0,0,47.2,42.2,42.2
Xilin Gol,China,15.1,16.1,10.1,9.8,11.1,7.3,7.3
Ximei,China,0,0,0,0,15.7,14.8,14.8
Xingbin Qu,China,48.1,39.5,35.2,30.4,34.0,30.1,30.1
Xingtai,China,103.7,76.7,63.5,55.9,44.0,43.0,43.0
Xinhui,China,0,0,0,0,20.4,20.5,20.7
Xining,China,38.0,41.7,33.3,33.0,32.2,29.3,29.4
Xinji,China,0,0,0,0,42.1,44.9,43.4
Xinpu,China,0,0,35.5,38.8,36.2,32.5,32.4
Xinxiang,China,66.4,61.4,55.7,51.5,47.3,50.0,50.0
Xinyang,China,53.6,53.8,47.8,40.7,39.1,40.7,40.1
Xinyu,China,47.6,37.7,35.1,29.9,30.8,27.2,27.3
Xinzhou,China,62.6,51.4,41.7,44.4,44.9,36.9,36.9
Xiongzhou,China,0,0,25.7,20.9,23.9,18.8,18.7
Xishan,China,0,0,0,0,32.0,28.2,28.2
Xishuangbanna,China,25.2,24.8,31.6,30.0,23.2,16.7,16.4
Xuancheng,China,49.1,43.2,41.7,32.7,30.2,32.0,31.7
Xuanzhou,China,0,0,0,0,30.1,33.2,33.4
Xuchang,China,63.2,64.2,60.6,53.6,45.1,46.9,46.9
Xuzhou,China,67.4,65.5,57.4,49.7,47.8,40.1,40.1
Ya'an,China,49.2,40.7,32.3,26.6,28.3,29.3,29.2
Yanan,China,39.2,35.0,31.3,29.5,28.7,26.8,26.9
Yanbian,China,29.1,25.7,24.5,19.7,19.8,16.8,16.9
Yancheng,China,43.8,43.2,40.5,32.5,28.9,26.4,26.4
Yangcun,China,0,0,0,0,43.0,39.1,39.2
Yanggu,China,0,0,0,0,44.0,46.1,46.2
Yangjiang,China,32.9,30.6,28.6,21.3,21.6,21.5,21.4
Yangliuqing,China,0,0,0,0,43.1,40.5,40.5
Yangquan,China,63.6,59.0,50.6,46.3,45.9,42.0,41.9
Yangzhou,China,54.1,48.2,43.0,35.6,34.2,32.1,32.1
Yanliang,China,0,0,45.5,51.0,41.0,43.0,43.1
Yanta,China,0,0,0,0,43.2,46.1,45.5
Yantai,China,34.3,29.3,37.5,31.8,28.0,23.3,23.3
Yanzhou,China,0,0,0,0,42.4,43.2,43.4
Yibin,China,55.4,49.3,45.9,38.8,43.3,41.7,41.7
Yichang,China,57.4,52.1,52.5,40.8,40.0,38.0,38.0
Yichun,China,36.15,29.200.000.000.000.000,27.150.000.000.000.000,24.4,24.299.999.999.999.900,22.9,23.0
Yigou,China,0,0,0,0,0,56.4,56.3
Yinchuan,China,46.3,39.3,31.0,34.5,29.9,31.1,31.1
Yingkou,China,41.6,38.4,41.2,40.2,35.0,28.9,28.9
Yingtan,China,39.6,34.0,35.9,31.5,24.8,23.5,23.4
Yinzhu,China,0,0,0,0,25.9,24.8,25.7
Yiwu,China,38.3,33.7,34.0,27.0,25.9,28.0,27.3
Yiyang,China,39.1,33.3,49.8,40.0,34.4,37.1,37.2
Yongchuan,China,0,0,30.3,31.8,33.2,32.0,32.0
Yongfeng,China,0,0,0,0,39.9,33.1,33.2
Yongzhou,China,43.7,46.1,38.4,32.9,32.9,32.1,32.3
Youhao,China,0,0,0,0,16.7,19.3,19.6
Yucheng,China,0,0,0,0,44.4,44.6,44.7
Yudong,China,0,0,30.4,30.3,33.4,33.5,33.4
Yueyang,China,47.9,43.4,42.6,36.6,35.7,33.6,33.8
Yulin,China,36.05,35.400.000.000.000.000,32.8,30.150.000.000.000.000,30.200.000.000.000.000,26.45,26.45
Yuncheng,China,71.9,59.8,61.2,57.7,48.4,50.2,50.3
Yunfu,China,36.0,31.2,28.0,20.9,22.4,20.4,20.4
Yushu,China,19.0,15.9,9.7,10.9,13.0,12.8,12.8
Yutan,China,0,0,0,0,47.5,37.8,37.9
Yuxi,China,18.3,21.8,23.1,19.5,20.9,18.0,18.1
Yuxia,China,0,0,37.0,44.5,38.4,38.8,38.9
Yuyao,China,0,0,0,0,23.5,25.5,25.7
Zaozhuang,China,62.0,57.6,59.6,54.8,44.8,40.9,40.9
Zhangjiajie,China,38.7,29.6,28.7,22.6,24.4,25.8,26.0
Zhangjiakou,China,56.7,36.3,26.1,24.3,23.2,16.9,16.9
Zhangqiu,China,66.7,49.2,50.1,49.1,42.4,38.4,38.5
Zhangye,China,28.8,36.9,31.8,34.3,31.7,30.0,30.0
Zhangzhou,China,34.4,30.0,30.3,21.6,23.5,19.0,19.0
Zhanjiang,China,28.4,25.4,25.4,21.2,22.9,20.6,20.6
Zhaobaoshan,China,0,0,0,0,17.3,18.7,18.4
Zhaoqing,China,38.9,36.5,31.4,23.2,22.3,21.4,21.3
Zhaotong,China,31.2,20.8,19.0,20.2,22.3,20.1,20.0
Zhengzhou,China,70.0,64.1,58.4,50.9,43.4,45.8,45.9
Zhenjiang,China,53.9,53.2,45.0,37.7,37.7,35.1,35.1
Zhicheng,China,0,0,0,0,27.7,29.0,29.2
Zhongshan,China,32.2,28.4,26.4,19.4,20.1,18.5,18.4
Zhongwei,China,36.6,36.9,31.5,33.3,37.1,34.8,34.8
Zhoucheng,China,0,0,0,0,44.7,43.7,43.8
Zhoucun,China,0,0,0,0,43.2,42.2,42.2
Zhoukou,China,59.9,58.9,56.6,50.3,44.8,44.9,43.8
Zhoushan,China,23.9,21.3,19.8,16.4,14.7,14.4,14.4
Zhuhai,China,28.8,26.1,24.0,18.3,19.0,16.7,16.7
Zhuji,China,0,35.4,37.2,28.9,23.7,20.5,20.5
Zhumadian,China,57.9,60.4,52.1,45.9,42.9,44.0,43.4
Zhushan Qu,China,43.4,30.1,28.2,27.1,23.8,20.3,20.2
Zhuzhou,China,50.2,42.3,46.3,36.7,39.0,34.2,34.4
Zibo,China,63.1,55.9,57.7,53.9,49.2,42.7,42.7
Zigong,China,69.3,56.8,47.5,45.1,44.4,38.8,38.7
Ziyang,China,27.7,38.3,33.5,29.5,28.2,31.3,31.3
Zoucheng,China,0,0,0,0,39.6,40.5,40.8
Zunyi,China,32.8,26.8,20.4,17.8,22.5,21.6,21.6
Bogota,Colombia,15.7,13.9,13.1,14.3,13.7,15.1,15.1
Bucaramanga,Colombia,0,0,0,0,19.4,20.5,20.8
Cota,Colombia,0,0,0,0,12.8,15.5,15.3
Guarne,Colombia,0,0,8.5,12.0,9.4,9.8,9.6
Medellin,Colombia,0,0,19.9,19.1,15.6,15.9,16.0
San Jose,Costa Rica,0,0,10.4,8.2,7.8,7.9,7.9
Desinic Gora,Croatia,0,0,0,0,0,12.9,13.6
Karlovac,Croatia,0,0,0,0,59.9,37.0,38.4
Lug,Croatia,0,0,0,0,0,12.0,11.8
Slavonski Brod,Croatia,0,0,0,0,0,23.5,24.8
Zagreb,Croatia,0,0,0,0,25.6,22.4,22.4
Ayia Marina,Cyprus,10.9,12.9,10.3,9.5,10.1,11.2,11.2
Larnaca,Cyprus,17.8,18.1,19.9,15.9,14.3,15.7,15.9
Limassol,Cyprus,0,0,0,0,15.0,14.3,14.4
Nicosia,Cyprus,17.9,17.4,19.2,15.5,14.8,16.4,16.4
Paphos,Cyprus,0,0,18.5,14.3,14.1,15.4,15.4
Paralimni,Cyprus,0,18.4,15.9,14.3,15.9,17.3,17.5
Zygi,Cyprus,15.4,14.3,14.4,12.5,12.8,11.9,11.9
Belotin,Czech Republic,23.4,23.7,17.6,0,16.5,15.1,14.8
Beroun,Czech Republic,18.8,22.5,15.6,14.0,15.3,14.2,14.2
Brno,Czech Republic,18.8,20.4,15.7,13.5,15.4,13.9,13.9
Budejovice,Czech Republic,17.1,16.9,12.7,11.0,10.7,11.1,11.1
Cheb,Czech Republic,0,0,0,9.2,8.1,9.0,8.7
Chocen,Czech Republic,0,0,0,0,0,14.2,14.2
Chomutov,Czech Republic,0,0,0,11.9,11.3,11.8,11.7
Chystovice,Czech Republic,11.8,14.5,10.1,9.1,8.8,9.3,9.3
Decin,Czech Republic,23.0,23.1,17.8,16.4,17.1,16.0,16.0
Dolni Lutyne,Czech Republic,32.3,35.8,27.7,20.9,22.8,20.7,20.3
Frydek-Mistek,Czech Republic,25.0,26.9,17.6,16.2,17.8,17.2,17.2
Frydlant,Czech Republic,0,0,19.1,19.3,22.2,20.2,21.1
Havirov,Czech Republic,26.7,28.8,20.3,18.0,19.6,18.3,18.3
Hodonin,Czech Republic,17.8,16.6,14.8,0,9.9,11.8,11.4
Hora Svate Kateriny,Czech Republic,0,0,0,6.5,6.7,6.8,6.6
Horni Stropnice,Czech Republic,0,0,0,6.1,6.6,6.6,6.3
Hradec Kralove,Czech Republic,19.0,19.7,14.8,13.7,14.5,13.3,13.2
Jesenik,Czech Republic,0,0,0,7.2,8.2,8.0,7.8
Jihlava,Czech Republic,14.2,16.9,13.3,12.0,12.2,9.9,10.0
Kadan,Czech Republic,14.8,18.8,12.8,11.2,11.9,11.5,11.5
Kamenny Ujezd,Czech Republic,16.9,16.4,12.0,11.5,10.6,11.6,11.5
Karlin,Czech Republic,0,0,0,0,0,14.1,13.4
Karvina,Czech Republic,24.6,27.1,22.1,18.3,33.0,19.2,18.6
Kladno,Czech Republic,18.0,19.0,12.2,12.3,12.0,13.1,13.0
Klatovy,Czech Republic,0,0,10.8,0,20.9,16.7,16.7
Kromeriz,Czech Republic,18.5,20.8,14.3,12.0,13.2,11.6,11.6
Krupka,Czech Republic,0,0,0,8.1,8.9,8.6,8.5
Kucharovice,Czech Republic,0,0,0,0,0,11.4,11.0
Kutna Hora,Czech Republic,0,0,12.0,0,16.0,13.0,12.5
Liberec,Czech Republic,15.8,18.4,12.5,11.6,11.4,11.7,11.7
Lipa,Czech Republic,0,0,0,11.0,11.0,10.7,10.6
Litomerice,Czech Republic,0,0,0,12.4,19.0,16.9,17.0
Marianske Radcice,Czech Republic,18.7,20.5,15.5,14.9,14.5,13.3,13.3
Medenec,Czech Republic,0,0,0,5.9,6.3,6.4,6.2
Menany,Czech Republic,0,0,0,0,0,13.6,13.3
Mlada Boleslav,Czech Republic,15.9,19.1,15.6,13.0,13.4,13.1,13.1
Modrice,Czech Republic,0,0,11.0,8.9,9.5,10.8,11.5
Moravska Trebova,Czech Republic,18.9,23.0,18.9,16.2,17.0,15.8,15.7
Most,Czech Republic,18.3,21.7,15.1,13.8,14.1,12.9,12.9
Novy Knin,Czech Republic,0,0,0,0,23.0,21.2,20.7
Olomouc,Czech Republic,20.4,19.0,16.1,15.8,17.7,14.6,14.5
Opava,Czech Republic,22.7,24.5,16.9,14.9,15.8,15.2,15.1
Ostrava,Czech Republic,27.8,30.1,20.9,16.8,19.6,18.7,18.6
Pardubice,Czech Republic,18.3,19.4,14.7,12.5,13.8,12.8,12.7
Pelhrimov,Czech Republic,0,0,0,0,10.1,11.5,11.2
Plzen,Czech Republic,0,0,12.6,11.5,12.7,11.6,11.6
Prachatice,Czech Republic,0,0,0,8.1,8.1,8.3,7.9
Prague,Czech Republic,15.6,17.4,11.5,10.9,11.3,11.9,11.9
Prerov,Czech Republic,24.4,22.9,17.9,15.5,16.2,15.5,15.5
Prostejov,Czech Republic,0,0,0,12.5,14.3,12.4,12.1
Rajec-Jestrebi,Czech Republic,0,0,0,0,26.7,25.4,25.2
Rozdalovice,Czech Republic,18.6,19.2,13.0,13.6,13.4,12.7,12.7
Roznov pod Radhostem,Czech Republic,0,0,0,0,0,16.8,16.0
Rychvald,Czech Republic,0,0,17.1,0,27.1,19.7,19.1
Sedlec,Czech Republic,16.2,18.6,12.6,10.3,10.5,10.5,10.5
Sedlonov,Czech Republic,0,0,0,7.9,8.3,8.0,7.9
Sokolov,Czech Republic,13.1,15.1,9.4,8.9,8.6,9.0,9.0
Steti,Czech Republic,0,0,16.3,0,13.0,15.0,14.6
Studenka,Czech Republic,24.3,25.4,18.0,16.2,17.2,15.8,15.7
Tabor,Czech Republic,0,0,0,12.7,13.7,13.3,13.0
Teplice,Czech Republic,18.8,19.1,14.2,13.4,13.3,13.3,13.3
Tesin,Czech Republic,27.2,29.6,20.0,17.9,19.5,17.6,17.6
Trebic,Czech Republic,0,0,0,11.5,12.5,11.2,10.9
Trinec,Czech Republic,26.7,26.5,18.2,15.1,18.2,17.5,17.4
Trutnov,Czech Republic,0,0,0,12.9,14.2,11.6,11.3
Uherske Hradiste,Czech Republic,0,0,0,15.3,18.3,15.7,15.4
Usti nad Labem,Czech Republic,17.0,18.3,14.1,12.0,12.9,13.8,13.7
Valasske Mezirici,Czech Republic,24.9,24.8,17.2,15.0,17.4,15.4,15.4
Vyskov,Czech Republic,0,0,0,0,31.0,20.8,20.2
Zdar nad Sazavou,Czech Republic,12.5,15.4,12.0,0,10.1,6.7,6.7
Zlin,Czech Republic,21.3,21.7,16.5,13.0,14.7,15.7,15.3
Znojmo,Czech Republic,17.4,19.7,14.2,11.9,11.8,12.2,12.2
Kinshasa,Democratic Republic of the Congo,0,0,32.1,0,44.6,15.5,15.8
Aarhus,Denmark,0,0,0,0,9.3,8.4,8.3
Copenhagen,Denmark,0,0,9.6,9.4,9.7,8.7,8.6
Viborg,Denmark,0,0,0,0,10.1,8.7,8.8
Cairo,Egypt,0,0,0,0,0,47.4,46.6
New Cairo,Egypt,0,0,18.0,0,29.1,27.7,27.7
La Union,El Salvador,0,0,0,0,11.2,14.2,13.5
San Miguel,El Salvador,0,0,0,0,12.3,14.6,14.6
San Salvador,El Salvador,0,0,0,0,12.0,13.4,13.2
Sonsonate,El Salvador,0,0,0,0,18.7,17.9,18.1
Kohtla-Jaerve,Estonia,4.1,8.3,10.4,4.3,5.4,4.6,4.6
Narva,Estonia,4.3,6.1,5.2,4.4,5.3,4.8,4.8
Palmse,Estonia,4.0,8.0,6.3,6.8,5.6,6.5,6.4
Sinimaee,Estonia,0,5.9,5.1,4.5,5.5,4.9,4.8
Tallinn,Estonia,4.9,7.1,5.5,6.2,5.9,4.8,4.8
Tartu,Estonia,0,0,7.6,6.3,6.8,5.5,5.5
Vilsandi,Estonia,3.4,6.0,5.7,5.1,4.1,4.0,4.0
Voore,Estonia,3.8,7.1,5.0,4.6,4.9,3.6,3.6
Addis Ababa,Ethiopia,26.9,27.1,20.1,14.7,23.9,31.3,31.2
Espoo,Finland,5.2,6.6,5.8,5.2,5.3,4.7,4.7
Harjavalta,Finland,0,0,0,5.7,5.2,4.4,4.4
Helsinki,Finland,5.4,7.2,6.0,5.2,5.9,5.5,5.5
Imatra,Finland,0,0,0,5.0,5.4,5.0,4.9
Jyvaskyla,Finland,0,0,5.0,4.7,5.2,4.7,4.7
Kittilä,Finland,0,0,0,0,0,1.7,1.7
Kokkola,Finland,0,0,0,4.3,4.0,4.2,4.2
Korsholm,Finland,0,0,4.1,3.4,3.9,2.7,2.7
Kotka,Finland,0,0,5.0,5.4,6.0,5.2,5.1
Kouvola,Finland,0,0,4.7,4.6,4.9,4.5,4.5
Kuopio,Finland,3.1,3.9,4.3,4.3,4.8,4.5,4.4
Lahti,Finland,0,5.3,4.6,6.2,5.1,4.7,4.7
Lansi-Turunmaa,Finland,4.1,5.8,5.7,5.5,4.9,3.9,4.0
Lappeenranta,Finland,6.0,6.8,5.2,4.9,5.4,4.9,4.9
Lohja,Finland,4.7,6.2,5.3,0,6.8,4.7,4.6
Oulu,Finland,4.8,5.9,5.3,4.9,5.3,4.8,4.8
Pietarsaari,Finland,0,0,0,0,4.1,4.4,4.4
Raahe,Finland,0,0,0,5.9,5.7,5.9,5.9
Raisio,Finland,0,0,0,0,4.8,4.4,4.4
Siuntio,Finland,0,0,0,0,7.3,6.4,6.0
Tampere,Finland,3.9,5.7,4.8,4.5,5.0,4.5,4.5
Turku,Finland,0,0,0,0,5.7,5.6,5.6
Ulvila,Finland,0,0,0,0,6.3,5.6,5.6
Vaasa,Finland,0,4.3,4.1,3.4,3.2,2.7,2.7
Vantaa,Finland,6.0,7.3,6.5,5.8,6.3,5.5,5.5
Varkaus,Finland,4.4,5.9,5.2,0,5.0,4.5,4.5
Virolahti,Finland,4.4,6.5,5.0,5.1,5.4,4.6,4.6
Acheres,France,0,0,0,0,0,10.5,10.4
Ajaccio,France,0,0,9.2,9.2,9.3,9.8,9.5
Amiens,France,0,0,11.1,0,11.7,12.9,12.1
Angouleme,France,8.9,8.6,9.2,8.7,9.1,8.8,8.5
Annecy,France,13.5,12.1,9.5,9.9,10.1,11.5,11.3
Arles,France,0,0,0,0,12.0,12.2,11.6
Aurillac,France,0,0,6.3,5.7,6.3,7.1,7.0
Auxerre,France,10.2,8.1,8.1,7.2,7.6,8.0,7.6
Avignon,France,12.7,11.8,11.0,10.3,10.5,13.0,12.0
Bastia,France,0,0,0,9.0,6.6,8.1,7.8
Baume-les-Dames,France,11.0,10.4,9.8,9.6,9.0,9.5,9.6
Belleville-sur-Meuse,France,0,0,11.0,9.8,9.1,9.4,9.0
Besancon,France,11.7,12.0,9.1,8.6,9.0,8.8,8.8
Bethune,France,13.4,13.9,11.4,10.3,11.6,12.4,11.7
Biarritz,France,7.7,9.1,7.2,7.4,8.4,9.2,8.8
Billere,France,9.1,7.0,7.6,6.8,8.7,9.6,9.6
Blandy,France,0,0,8.3,7.6,7.5,8.6,8.6
Blois,France,0,0,0,0,8.9,8.0,7.8
Bobigny,France,11.2,11.2,10.0,10.6,11.3,10.4,10.4
Bonneville,France,5.2,9.0,6.9,0,13.5,12.5,12.4
Bordeaux,France,0,0,0,9.9,10.3,11.2,11.0
Bouguenais,France,0,0,0,0,9.1,10.5,10.2
Boulogne-sur-Mer,France,0,0,0,0,9.9,10.6,10.7
Bourg-en-Bresse,France,0,8.8,8.8,8.2,8.9,10.3,8.5
Bourg-les-Valence,France,0,0,9.9,8.7,9.1,9.5,9.5
Bourges,France,0,0,0,0,9.1,8.4,8.2
Bussy-Saint-Georges,France,0,0,0,0,0,9.7,12.4
Calais,France,10.3,10.4,10.9,0,8.7,9.7,9.8
Calvados,France,0,0,9.2,8.9,10.2,9.5,8.5
Campagne-les-Boulonnais,France,11.3,12.8,9.9,9.1,10.8,10.4,9.9
Cannes,France,0,0,0,8.6,8.9,11.0,10.9
Cartignies,France,0,0,0,0,7.8,9.6,9.3
Chalette-sur-Loing,France,0,0,0,0,8.9,9.7,9.5
Chalon-sur-Saone,France,10.6,11.1,10.1,8.7,9.1,9.9,9.8
Chartres,France,0,0,0,0,9.0,8.0,7.9
Chateauroux,France,0,0,0,0,9.2,8.6,8.4
Chatou,France,0,0,10.9,8.9,9.1,3.6,4.2
Crolles,France,0,0,0,9.9,11.9,11.2,11.2
Dax,France,9.5,8.9,9.2,10.4,9.9,10.2,10.1
Dijon,France,10.1,8.6,7.7,7.6,7.8,8.1,8.0
Domancy,France,0,0,0,0,12.3,12.6,12.8
Dreux,France,0,0,0,0,9.2,7.9,7.8
Eybens,France,0,0,0,0,11.7,11.3,11.3
Fillinges,France,0,0,0,0,0,10.3,9.8
Fontainebleau,France,7.5,7.7,7.4,6.4,6.5,7.5,7.5
Forbach,France,11.5,12.2,11.6,9.1,9.3,8.6,8.3
Gaillard,France,0,0,9.5,9.4,9.0,10.5,10.5
Gap,France,11.7,11.7,10.7,9.8,10.0,11.9,11.5
Gardanne,France,12.2,12.1,11.2,11.3,12.2,14.1,13.3
Gennevilliers,France,12.7,13.0,11.9,9.0,11.1,10.8,10.8
Gonesse,France,12.0,12.4,11.1,9.5,11.1,10.8,10.7
Jonville-en-Woëvre,France,10.5,11.2,9.6,9.5,8.9,8.4,8.2
Joue-Les-Tours,France,12.2,10.3,10.4,9.1,8.9,8.4,8.3
La Chataigneraie,France,9.2,8.6,8.0,6.8,8.2,6.7,6.7
La Mulatiere,France,15.1,14.1,12.8,14.6,12.5,12.5,12.1
La Rochelle,France,8.0,9.2,9.1,7.9,8.8,9.0,8.9
Les Houches,France,0,0,0,0,12.5,9.6,9.5
Les Mazures,France,6.6,7.3,6.7,5.9,6.3,7.6,7.4
Limoges,France,8.7,8.4,7.2,7.6,9.1,8.1,7.8
Linas,France,0,0,0,0,17.1,15.3,15.2
Lons-le-Saunier,France,10.6,10.1,6.8,6.6,7.1,7.5,7.6
Luce,France,0,0,0,0,8.4,8.6,8.4
Lunéville,France,12.1,12.2,10.5,10.2,10.5,10.8,10.6
Lyon,France,15.0,11.7,11.4,11.7,11.7,11.6,11.3
Malo-les-Bains,France,0,0,11.6,10.3,9.4,11.1,10.9
Manosque,France,0,0,7.9,8.6,8.0,9.2,9.2
Marignane,France,0,0,0,12.0,12.4,13.6,12.6
Marmande,France,9.0,8.9,7.8,8.4,9.7,8.6,8.3
Marseille,France,14.6,12.4,10.7,9.6,10.1,10.7,10.55
Marseille 16,France,0,0,0,0,12.3,12.7,12.6
Melun,France,12.9,14.1,13.6,10.8,10.9,11.8,12.0
Mere,France,7.1,7.6,6.0,6.6,6.8,6.3,6.1
Metz,France,10.4,12.5,10.5,9.1,9.6,10.9,10.5
Mieussy,France,0,0,0,0,0,10.7,10.3
Mont-de-Marsan,France,9.4,9.3,8.0,7.9,9.1,9.5,9.3
Montargis,France,9.8,9.1,8.6,7.6,9.9,9.4,9.2
Montbeliard,France,11.1,11.3,10.9,10.2,10.0,9.0,9.3
Montceau-les-Mines,France,0,0,0,0,5.7,7.0,7.0
Montluçon,France,0,0,6.0,6.8,8.7,8.9,8.8
Montoir-de-Bretagne,France,0,0,0,0,0,9.9,9.6
Montreuil,France,0,0,0,0,0,14.4,14.6
Mulhouse,France,14.2,13.0,11.7,12.0,11.6,10.7,10.4
Nancy,France,10.8,10.9,9.4,9.5,10.5,11.4,10.9
Neuilly-Saint-Front,France,0,0,0,0,9.4,9.6,9.5
Nice,France,13.9,12.5,11.1,9.2,9.5,10.2,10.2
Niort,France,10.0,9.0,8.7,0,8.5,8.6,8.4
Orleans,France,0,0,0,0,9.2,8.1,8.0
Orsay,France,0,0,0,0,0,10.0,10.1
Paray le Fresil,France,7.7,7.4,6.8,6.4,6.9,7.0,7.0
Paris,France,15.4,15.6,14.7,12.2,13.7,12.7,12.7
Passy,France,17.1,11.1,10.0,10.9,10.8,10.3,10.3
Peillon,France,0,0,0,0,9.9,13.2,12.7
Perigueux,France,0,0,0,7.8,9.0,9.1,8.9
Perpignan,France,0,0,0,7.9,7.1,8.5,8.5
Poitiers,France,11.1,9.9,9.6,8.2,9.7,9.0,8.8
Prades,France,0,0,0,0,6.7,6.4,6.2
Pusignan,France,0,0,0,0,13.1,10.4,10.2
Rageade,France,0,0,0,4.9,5.4,4.3,4.5
Rambouillet,France,7.9,11.1,8.4,7.8,9.5,9.1,9.2
Reims,France,13.3,13.1,11.2,10.0,10.8,10.9,10.5
Romans-sur-Isere,France,0,0,9.8,11.5,12.1,13.0,12.9
Roubaix,France,14.9,14.9,14.2,0,13.9,14.6,14.0
Saint-Andre,France,0,0,0,0,13.7,14.2,14.1
Saint-Chamond,France,11.0,9.4,8.1,8.9,9.1,9.4,9.3
Saint-Denis,France,13.1,13.3,11.75,10.85,11.75,10.25,10.3
Saint-Dizier,France,11.2,12.0,8.9,8.5,9.2,8.6,8.2
Saint-Germain-sur-Rhone,France,9.5,9.3,8.1,7.9,8.9,9.7,9.8
Saint-Gervais-la-Foret,France,0,0,0,0,8.6,8.1,7.8
Saint-Henri,France,0,0,0,0,10.1,10.0,9.5
Saint-Jean-de-Braye,France,11.9,10.7,9.9,8.9,10.4,10.1,9.9
Saint-Joseph,France,0,0,5.7,6.0,3.8,3.6,3.6
Saint-Leu,France,0,0,0,6.2,5.3,5.5,5.5
Saint-Martin-d'Heres,France,0,0,0,9.7,11.1,12.0,12.1
Saint-Michel-l'Observatoire,France,8.4,6.2,6.6,6.1,6.6,6.4,6.7
Saint-Nazaire,France,9.6,9.2,8.6,8.7,9.1,8.7,8.7
Saint-Paul,France,5.5,5.5,6.1,5.3,5.1,5.2,5.3
Saint-Pierre,France,0,0,0,5.5,5.0,5.2,5.3
Saint-Quentin,France,13.4,14.3,12.2,11.1,12.6,11.6,11.1
Sallanches,France,0,0,0,0,15.0,8.9,9.6
Schweighouse-sur-Moder,France,0,0,0,0,11.1,9.0,8.9
Seremange-Erzange,France,0,0,14.0,0,13.3,12.4,12.4
Strasbourg,France,15.9,14.4,14.0,10.6,10.9,11.7,11.7
Ternay,France,0,0,0,9.0,10.7,12.4,11.9
Thionville,France,12.2,10.6,8.6,7.3,7.0,8.2,8.1
Toulon,France,12.4,11.9,11.8,9.1,8.5,9.3,9.2
Tours,France,0,0,11.1,10.2,11.1,9.9,9.9
Trois-Rivieres,France,0,0,0,9.2,10.9,8.7,9.6
Troyes,France,0,0,9.7,10.0,8.8,8.9,8.4
Valence,France,0,11.2,10.9,10.0,10.7,11.5,11.6
Valenciennes,France,15.1,15.3,11.3,10.0,12.0,13.9,13.5
Vaulx-en-Velin,France,11.4,10.8,10.6,10.7,10.4,10.4,9.9
Verneuil-Les-Bois,France,7.4,7.1,7.2,6.4,7.3,7.4,7.3
Viarmes,France,0,0,9.0,8.2,10.1,9.0,8.9
Villefranche-sur-Saone,France,0,0,9.0,9.5,9.9,11.2,10.9
Villiers-en-Bois,France,0,0,0,7.2,8.2,7.9,7.7
Vitry-Sur-Seine,France,11.8,13.4,10.9,10.1,10.7,10.5,10.5
Yzeure,France,0,0,7.3,8.7,8.7,9.7,9.6
Épernay,France,9.6,10.5,9.3,8.2,8.9,8.4,8.0
Punaauia,French Polynesia,0,0,0,0,4.3,2.5,2.5
Libreville,Gabon,0,0,0,0,0,25.0,25.0
Batumi,Georgia,0,0,0,17.0,14.3,14.1,14.1
Rust'avi,Georgia,0,0,0,31.3,34.8,26.5,26.8
Tbilisi,Georgia,0,0,20.1,20.4,20.4,16.3,16.3
Aachen,Germany,0,0,0,8.8,9.2,10.1,9.9
Aalen,Germany,0,0,0,8.1,9.7,9.2,9.2
Allertal,Germany,0,0,0,8.9,9.0,8.8,8.8
Alt Zauche-Wusswerk,Germany,0,13.0,10.5,9.7,9.8,7.7,7.7
Altenburg,Germany,0,0,0,10.2,10.9,8.5,8.5
Andechs,Germany,8.9,10.9,8.0,7.2,7.2,7.3,7.1
Ansbach,Germany,13.4,13.1,11.1,10.9,10.7,11.3,11.3
Augsburg,Germany,11.8,13.2,10.7,9.8,9.9,10.4,10.4
Auw bei Prüm,Germany,0,0,0,5.2,5.1,5.6,5.5
Bad Aibling,Germany,0,0,0,0,0,11.5,11.7
Bad Belzig,Germany,11.1,11.6,10.0,8.6,8.6,7.7,7.6
Bad Hindelang,Germany,0,0,0,0,3.7,4.5,4.6
Baden-Baden,Germany,0,0,0,6.8,7.4,8.4,8.4
Bamberg,Germany,12.5,12.7,10.2,10.3,10.4,9.9,9.9
Bayreuth,Germany,0,0,0,0,10.4,10.2,10.1
